Compound	Object ID	Chemical Formula	InChI-Key	ChEBI
neoxaline	CPD-17394	C23H25N5O4	InChIKey=HHLNXXASUKFCCX-LICLKQGHSA-N	
CMP-5,7-diacetamido-3,5,7,9-tetradeoxy-L-glycero-D-galacto-non-2-ulosonate	CPD-18464	C22H32N5O15P	InChIKey=XTZJKGIMUFZFBV-QAEQFDFKSA-L	
dihydrochelerythrine	CPD-16781	C21H19NO4	InChIKey=ALZAZMCIBRHMFF-UHFFFAOYSA-N	140672
CMP-pseudaminate	CPD-10755	C22H32N5O15P	InChIKey=XTZJKGIMUFZFBV-STPXTTIVSA-L	63680
3-<i>O</i>-acetyl-4'-<i>O</i>-demethylpapaveroxine	CPD-14831	C23H25NO8	InChIKey=XKBBRFAPWMBHPG-KNQAVFIVSA-N	141643
CMP-3-deoxy-&beta;-D-<i>manno</i>-octulosonate	CMP-KDO	C17H24N3O15P	InChIKey=YWWJKULNWGRYAS-XKKDATLGSA-L	59825
fumigaclavine C	CPD-14469	C23H31N2O2	InChIKey=OSICWVVWEXKSBD-LFAYTRTRSA-O	67147
CMP-&beta;-7-acetamido-3,5,7,9-tetradeoxy-5[(<i>R</i>)-3-hydroxybutanoylamino]-L-<i>glycero</i>-D-<i>galacto</i>-non-2-ulosonate	CPD-23864	C25H38N5O16P	InChIKey=LEKGJGFKLOEIHL-AVCLDQLWSA-L	
solasodine	CPD-13080	C27H44NO2	InChIKey=KWVISVAMQJWJSZ-GPXMTLFMSA-O	9190
CMP-<i>N</i>,<i>N</i>'-diacetyllegionaminate	CPD-13167	C22H32N5O15P	InChIKey=XTZJKGIMUFZFBV-QBAABWDMSA-L	68670
strictosamide	CPD-11775	C26H30N2O8	InChIKey=LBRPLJCNRZUXLS-IUNANRIWSA-N	80684
thymidine 3'-monophosphate	CPD-3732	C10H13N2O8P	InChIKey=XXYIANZGUOSQHY-XLPZGREQSA-L	77843
folate	CPD-12826	C19H17N7O6	InChIKey=OVBPIULPVIDEAO-LBPRGKRZSA-L	62501
9(<i>S</i>)-HETE	CPD-24588	C20H31O3	InChIKey=KATOYYZUTNAWSA-VBLHFSPLSA-M	34495
(+)-germacrene A	CPD-9006	C15H24	InChIKey=XMRKUJJDDKYUHV-DFSVIBJJSA-N	41595
9(<i>R</i>)-HETE	CPD-24589	C20H31O3	InChIKey=KATOYYZUTNAWSA-AZFZJQGOSA-M	
dihydroilludin M	CPD-20151	C15H22O3	InChIKey=MBTBAQPUVNSQEB-BZPMIXESSA-N	
(5<i>S</i>)-HpETE	6E8Z11Z14Z-5S-5-HYDROPEROXYCOSA-6	C20H31O4	InChIKey=JNUUNUQHXIOFDA-JGKLHWIESA-M	57450
2<i>E</i>,4<i>E</i>,6<i>E</i>-allofarnesene	CPD-20097	C15H24	InChIKey=JEKGHHPMLRLCIW-DEAWSWFZSA-N	
(12<i>S</i>)-HpETE	5Z8Z10E14Z-12S-12-HYDROPEROXYICOS	C20H31O4	InChIKey=ZIOZYRSDNLNNNJ-LQWMCKPYSA-M	57444
(2S,3R,6S,9S)-(-)-protoillud-7-ene	CPD-20080	C15H24	InChIKey=XVBFDFFOYTTYHD-OSFYFWSMSA-N	137530
15 epi-lipoxin B4	CPD66-54	C20H31O5	InChIKey=UXVRTOKOJOMENI-SKYGSKSRSA-M	63991
4,15-diacetoxyscirpenol	CPD-18498	C19H26O7	InChIKey=AUGQEEXBDZWUJY-SJMWEYMPSA-N	
(15<i>S</i>)-HpETE	5Z8Z11Z13E-15S-15-HYDROPEROXYICOS	C20H31O4	InChIKey=BFWYTORDSFIVKP-VAEKSGALSA-M	57446
7-epizingiberene	CPD-15031	C15H24	InChIKey=KKOXKGNSUHTUBV-GICMACPYSA-N	71688
15(<i>S</i>)-HETE	CPD66-55	C20H31O3	InChIKey=JSFATNQSLKRBCI-VAEKSGALSA-M	57409
viridiflorol	CPD-13864	C15H26O	InChIKey=AYXPYQRXGNDJFU-IMNVLQEYSA-N	156228
15 <i>epi</i>-lipoxin A<sub>4</sub>	CPD-22263	C20H31O5	InChIKey=IXAQOQZEOGMIQS-JEWNPAEBSA-M	
&alpha;-acoradiene	CPD-13268	C15H24	InChIKey=DVBSKQAFCDJNSL-QLFBSQMISA-N	
lipoxin A4	CPD66-51	C20H31O5	InChIKey=IXAQOQZEOGMIQS-SSQFXEBMSA-M	67026
(+)-&alpha;-santalene	CPD-11377	C15H24	InChIKey=KWFJIXPIFLVMPM-UHFFFAOYSA-N	61677
(8<i>S</i>)-HpETE	5Z9E11Z14Z-8S-8-HYDROPEROXYICOSA-TETRAEN	C20H31O4	InChIKey=QQUFCXFFOZDXLA-VYOQERLCSA-M	75322
gossypol-6,6'-dimethyl ether	CPD-9527	C32H34O8	InChIKey=OUHOXIPLBJIWEG-UHFFFAOYSA-N	
(15<i>R</i>)-HpETE	CPD-15850	C20H31O4	InChIKey=BFWYTORDSFIVKP-UDQWCNDOSA-M	82626
&alpha;-calacorene	CPD-8808	C15H20	InChIKey=CUUMXRBKJIDIAY-ZDUSSCGKSA-N	
lipoxin B4	CPD66-56	C20H31O5	InChIKey=UXVRTOKOJOMENI-WLPVFMORSA-M	67031
(+)-&gamma;-muurolene	CPD-8791	C15H24	InChIKey=WRHGORWNJGOVQY-ZNMIVQPWSA-N	64798
15(<i>R</i>)-HETE	CPD66-52	C20H31O3	InChIKey=JSFATNQSLKRBCI-UDQWCNDOSA-M	78837
seli-3,7(11)-diene	CPD-8748	C15H24	InChIKey=WNRBYZQFEBIUGD-UHFFFAOYSA-N	166668
2-(5,6-dihydroxy-1<i>H</i>-indol-7-yl)-1<i>H</i>-indole-5,6-diol	CPD-12414	C16H12N2O4	InChIKey=ZRACRUXIUBFFQC-UHFFFAOYSA-N	
(<i>S</i>)-&beta;-bisabolene	CPD-8246	C15H24	InChIKey=XZRVRYFILCSYSP-OAHLLOKOSA-N	49263
4-(2-carboxylato-5,6-dihydroxy-1<i>H</i>-indol-4-yl)-5,6-dihydroxy-1<i>H</i>-indole-2-carboxylate	CPD-12411	C18H10N2O8	InChIKey=FXOYAOLSFLTAPO-UHFFFAOYSA-L	
(+)-valencene	CPD-7989	C15H24	InChIKey=QEBNYNLSCGVZOH-NFAWXSAZSA-N	61700
2-(5,6-dihydroxy-1<i>H</i>-indol-2-yl)-1<i>H</i>-indole-5,6-diol	CPD-12408	C16H12N2O4	InChIKey=JOKGEXDXSDUJIL-UHFFFAOYSA-N	
(-)-vetispiradiene	CPD-4703	C15H24	InChIKey=WEZDOYDDKIHCLM-ILXRZTDVSA-N	46971
4-(5,6-dihydroxy-1<i>H</i>-indol-2-yl)-2-(5,6-dihydroxy-1<i>H</i>-indol-7-yl)-1<i>H</i>-indole-5,6-diol	CPD-12415	C24H17N3O6	InChIKey=UUZHEFIXDYYLOW-UHFFFAOYSA-N	
valerianol	CPD-22153	C15H26O	InChIKey=MQWIFDHBNGIVPO-KYOSRNDESA-N	143779
7-(2-carboxylato-5,6-dihydroxy-1<i>H</i>-indol-4-yl)-5,6-dihydroxy-1<i>H</i>-indole-2-carboxylate	CPD-12412	C18H10N2O8	InChIKey=MTPMCBLEYQKBMW-UHFFFAOYSA-L	
4&beta;-acetoxy-10&beta;,15&alpha;-dihydroxyprobotryane	CPD-20914	C17H28O5	InChIKey=XEUSNZUHUUORTO-SJSNFWCWSA-N	
2-(5,6-dihydroxy-1<i>H</i>-indol-4-yl)-1<i>H</i>-indole-5,6-diol	CPD-12409	C16H12N2O4	InChIKey=KXVRIZRVTJPCMG-UHFFFAOYSA-N	
(-)-&beta;-barbatene	CPD-20169	C15H24	InChIKey=RTONMYLSQISFQA-XQLPTFJDSA-N	
4-(5,6-dihydroxy-1<i>H</i>-indol-2-yl)-2--(5,6-dihydroxy-1<i>H</i>-indol-4-yl)-1<i>H</i>-indole-5,6-diol	CPD-12416	C24H17N3O6	InChIKey=YMEQFHOQIKHCTD-UHFFFAOYSA-N	
illudin C	CPD-20148	C15H20O2	InChIKey=VHHHVRVVSIKHKN-AWEZNQCLSA-N	
4,7-bis(2-carboxylato-5,6-dihydroxy-1<i>H</i>-indol-4-yl)-5,6-dihydroxy-1<i>H</i>-indole-2-carboxylate	CPD-12413	C27H14N3O12	InChIKey=YHAOEFXVWLWZML-UHFFFAOYSA-K	
1'-deoxy-abscisate	CPD-20094	C15H19O3	InChIKey=FCRACOPGPMPSHN-NTUGQGQXSA-M	
2,4-bis(5,6-dihydroxy-1<i>H</i>-indol-2-yl)-1<i>H</i>-indole-5,6-diol	CPD-12410	C24H17N3O6	InChIKey=LFWNBKANHCZNAS-UHFFFAOYSA-N	
isotrichotriol	CPD-18384	C15H24O4	InChIKey=WGOGDSNCSQGSSF-ZLMXSUKOSA-N	
(<i>E</i>)-2-<i>epi</i>-&beta;-caryophyllene	CPD-14799	C15H24	InChIKey=NPNUFJAVOOONJE-QWAJQTJBSA-N	68667
(-)-&delta;-cadinol	CPD-13861	C15H26O	InChIKey=LHYHMMRYTDARSZ-ZQDZILKHSA-N	156223
(-)-&alpha;-gurjunene	CPD-12891	C15H24	InChIKey=SPCXZDDGSGTVAW-XIDUGBJDSA-N	61699
&beta;-selinene	CPD-11504	C15H24	InChIKey=YOVSPTNQHMDJAG-QLFBSQMISA-N	10443
(-)-&alpha;-bisabolol	CPD-10759	C15H26O	InChIKey=RGZSQWQPBWRIAQ-CABCVRRESA-N	125
desoxyhemigossypol	CPD-9524	C15H16O3	InChIKey=UACUHHDLYFQIDS-UHFFFAOYSA-N	
(+)-sativene	CPD-8804	C15H24	InChIKey=VOBBUADSYROGAT-KLDMJIFRSA-N	64800
(+)-&alpha;-cadinene	CPD-8788	C15H24	InChIKey=QMAYBMKBYCGXDH-KKUMJFAQSA-N	80749
germacrene C	CPD-8745	C15H24	InChIKey=WYGLLWYGQRUNLF-VUSWODRPSA-N	61478
(-)-&alpha;-cuprenene	CPD-8243	C15H24	InChIKey=DYQFFTPJVWEYMH-OAHLLOKOSA-N	63701
1-deoxycapsidiol	CPD-4662	C15H24O	InChIKey=TWGYXCCDWSORFO-QHSBEEBCSA-N	72638
eupatolide	CPD-21667	C15H20O3	InChIKey=PDEJECFRCJOMEN-OURLZOILSA-N	
4&beta;-acetoxy-15&alpha;-hydroxyprobotryane	CPD-20911	C17H28O4	InChIKey=XXXJKEIUHBHWAC-VXZZJCSESA-N	
african-3-ene	CPD-20165	C15H24	InChIKey=LOWGZUQIXFZBPD-YKURLNKLSA-N	
a cytosine-cytosine (6-4) photoproduct in DNA	CPD-20740			
isoomphadione	CPD-20162	C15H20O2	InChIKey=JMDSVFSLIQKRFD-LIEMUPCESA-N	
a thymine-thymine (6-4) photoproduct in DNA	CPD-20738			
illudin S	CPD-20145	C15H20O4	InChIKey=DDLLIYKVDWPHJI-RDBSUJKOSA-N	5867
a thymine-cytidine (6-4) photoproduct in DNA	CPD-20739			
4'-<i>R</i>-hydroxy-&alpha;-ionylideneacetate	CPD-20091	C15H21O3	InChIKey=IGUWZNQUMTWGPH-YVBRKTJCSA-M	
crotocin	CPD-18598	C19H24O5	InChIKey=LAQCZBYXNRANFU-MYVHMNARSA-N	69619
2-hydroxytrichodiene	CPD-18381	C15H24O	InChIKey=AFQODABBNISGQW-DMJDIKPUSA-N	
&Delta;<sup>2,4</sup>-protoilludene	CPD-14796	C15H24	InChIKey=FBSBGGJQVUYUDB-ZLDLUXBVSA-N	68655
(+)-caryolan-1-ol	CPD-13786	C15H26O	InChIKey=FUQAYSQLAOJBBC-MXYBEHONSA-N	63196
pentalen-13-ol	CPD-13616	C15H24O	InChIKey=UUWZJPBRBCIXLA-IKVITTDRSA-N	63243
(-)-&gamma;-cadinene	CPD-12881	C15H24	InChIKey=WRHGORWNJGOVQY-RBSFLKMASA-N	63203
&beta;-eudesmol	CPD-11432	C15H26O	InChIKey=BOPIMTNSYWYZOC-ILWWEHDPSA-N	10417
cytidine 2',3'-cyclic monophosphate	CPD-3713	C9H11N3O7P	InChIKey=NMPZCCZXCOMSDQ-XVFCMESISA-M	60877
8-epi-cedrol	CPD-10756	C15H26O	InChIKey=SVURIXNDRWRAFU-SUWDNJBVSA-N	81598
uridine 2'3'-cyclic monophosphate	CPD-3725	C9H10N2O8P	InChIKey=HWDMHJDYMFRXOX-XVFCMESISA-M	60873
germacra-1(10),4,11(13)-trien-12-al	CPD-9412	C15H22O	InChIKey=AXUADEXBLHHYAJ-KGSGWQTPSA-N	62091
&alpha;-ylangene	CPD-8801	C15H24	InChIKey=VLXDPFLIRFYIME-KYRRZXGASA-N	10341
(-)-&alpha;-cedrene	CPD-8776	C15H24	InChIKey=IRAQOCYXUMOFCW-OSFYFWSMSA-N	10216
kinamycin E	CPD-24758	C20H16N2O8	InChIKey=FRKARNRSYLXVBE-MTQWCTHYSA-N	48216
&alpha;-cubebene	CPD-8739	C15H24	InChIKey=XUEHVOLRMXNRKQ-RUOPDXTDSA-N	10224
kinamycin A	CPD-24754	C24H20N2O10	InChIKey=JIYPIUWXCOFASH-OLKYXYMISA-N	48212
&beta;-acoradiene	CPD-8240	C15H24	InChIKey=DVBSKQAFCDJNSL-WLYUNCDWSA-N	
kinamycin F	CPD-24759	C18H14N2O7	InChIKey=JICRGPYPFORQJA-MLHJIOFPSA-N	48215
artemisinic alcohol	CPD-7556	C15H24O	InChIKey=CZSSHKCZSDDOAH-UNQGMJICSA-N	64783
kinamycin B	CPD-24755	C20H16N2O8	InChIKey=UZCOWBDCSCNWHJ-MTQWCTHYSA-N	48214
6-demethoxyfumagillol	CPD-26051	C15H24O3	InChIKey=GQZNLCVCDSSGRA-RYPNDVFKSA-N	
kinamycin C	CPD-24756	C24H20N2O10	InChIKey=MXDLFLPONIABIS-OLKYXYMISA-N	48211
(+)-costunolide (12,6&beta;)	CPD-21664	C15H20O2	InChIKey=HRYLQFBHBWLLLL-NNHLIDDTSA-N	
kinamycin D	CPD-12945	C22H18N2O9	InChIKey=KPVVXTRWIKTJBS-DXBBTUNJSA-N	31751
1',4'-dihydroxy-&gamma;-ionylideneacetate	CPD-20470	C15H21O4	InChIKey=AVTDYKVJXAJNCH-FUZQYHGZSA-M	
illudiolone	CPD-20158	C14H22O3	InChIKey=BGMMXBDKDVGHCD-JDBKDSLVSA-N	
1,4,5-trihydroxy-&Delta;<sup>2,3</sup>-protoilludene	CPD-20142	C15H24O3	InChIKey=XEIBLVWXVKKEQP-IUBWNAFWSA-N	
&alpha;-ionylideneacetate	CPD-20088	C15H21O2	InChIKey=ORMSPYIOCROMQP-PNARZHDTSA-M	
(-)-amorpha-4,7(11)-diene	CPD-18510	C15H24	InChIKey=YBEONGKDMARZSS-AEGPPILISA-N	
(+)-&delta;-cadinene	CPD-1722	C15H24	InChIKey=FUCYIEXQVQJBKY-ZFWWWQNUSA-N	15385
eudesma-4,11-diene	CPD-14376	C15H24	InChIKey=MOTCYZHGMCNNRH-AWKYBWMHSA-N	
(+)-<i>exo</i>-&beta;-bergamotene	CPD-13402	C15H24	InChIKey=DGZBGCMPRYFWFF-SOUVJXGZSA-N	
zerumbone	CPD-11421	C15H22O	InChIKey=GIHNTRQPEMKFKO-SKTNYSRSSA-N	63892
aclacinomycin S	CPD-15765	C36H46NO13	InChIKey=DNZPQXXGAMXDHH-FCNQEGBTSA-O	
aristolochene	ARISTOLOCHENE	C15H24	InChIKey=YONHOSLUBQJXPR-NFAWXSAZSA-N	18027
aclacinomycin N	CPD-15528	C42H56NO15	InChIKey=CPUWOKRFRYWIHK-BPPBZOKFSA-O	74924
(+)-germacrene D	CPD-9370	C15H24	InChIKey=GAIBLDCXCZKKJE-YZJXYJLZSA-N	49045
aclacinomycin B	CPD-15809	C42H52NO15	InChIKey=RQHZAASWYUEYCJ-NFJBMJLVSA-O	
(+)-&alpha;-muurolene	CPD-8798	C15H24	InChIKey=QMAYBMKBYCGXDH-ZNMIVQPWSA-N	64797
15-demethoxy-aclacinomycin A	CPD-15785	C41H51NO15	InChIKey=FZXGUTZRXQXBMU-UFJKXKKKSA-N	
&alpha;-longipinene	CPD-8762	C15H24	InChIKey=HICYDYJTCDBHMZ-UHFFFAOYSA-N	62753
aclacinomycin Y	CPD-15529	C42H52NO15	InChIKey=ADCDIHNCUQOKFP-SVEJIMAYSA-O	74929
&gamma;-himachalene	CPD-8734	C15H24	InChIKey=PUWNTRHCKNHSAT-UHFFFAOYSA-N	49224
10-decarboxymethyl, 10-hydroxyaclacinomycin A	CPD-15786	C40H52NO14	InChIKey=OQDCVONZQOVIMP-HERTZNLPSA-O	
isobazzanene	CPD-8237	C15H24	InChIKey=WUOZOSFJWTXTKG-UHFFFAOYSA-N	
aclacinomycin T	CPD-15541	C30H36NO10	InChIKey=LJZPVWKMAYDYAS-QKKPTTNWSA-O	74755
3-hydroxy-15-dihydrolubimin	CPD-4746	C15H26O3	InChIKey=NPIIWZCGVADPIE-OJVARPOJSA-N	191238
nogalamycin	CPD-15795	C39H50NO13	InChIKey=MAZYQGHSTXUZJF-ZBRHGPMOSA-O	44504
5-dehydro-6-demethoxyfumagillol	CPD-26048	C15H22O3	InChIKey=NGJHYKKKKKBPBZ-TUVASFSCSA-N	
6-(4-methyl-2-oxopentyl)-4-hydroxy-2-pyrone	CPD-7147	C11H13O4	InChIKey=GACVANPZCDHOHT-UHFFFAOYSA-M	
(-)-5-epieremophilene	CPD-21656	C15H24	InChIKey=QEBNYNLSCGVZOH-GUTXKFCHSA-N	142537
6-isobutyl-4-hydroxy-2-pyrone	CPD-7146	C9H11O3	InChIKey=DFYHDDCNKMPXMX-UHFFFAOYSA-M	
ledol	CPD-20253	C15H26O	InChIKey=AYXPYQRXGNDJFU-AOWZIMASSA-N	6401
13-dihydrocarminomycin	CPD-15736	C26H30NO10	InChIKey=YXBSCYMMPXQFDS-XELZYMDQSA-O	31058
illudalate	CPD-20155	C15H16O5	InChIKey=BDEDPKFUFGCVCJ-UHFFFAOYSA-N	
13-deoxydaunorubicin	CPD-15733	C27H32NO9	InChIKey=XAMIMZAWZUSOPA-JIGXQNLBSA-O	75297
(+)-corvol ether A	CPD-20136	C15H26O	InChIKey=WNZXPDXXLQCXHX-NJVJYBDUSA-N	137535
nogalaviketone	CPD-15808	C21H16O8	InChIKey=NIJCZTKHKOATFT-KKSFZXQISA-N	81874
(1R,4R,5S)-(-)-guaia-6,10(14)-diene	CPD-20085	C15H24	InChIKey=QCESRPKOTSPFAU-VHDGCEQUSA-N	137563
aklaviketone	CPD-15721	C22H18O8	InChIKey=MHAXMIHGEZOCTQ-HTAPYJJXSA-N	75244
neosolaniol	CPD-18505	C19H26O8	InChIKey=TVZHDVCTOCZDNE-MPNYEMCZSA-N	
auramycinone	CPD-15802	C21H18O8	InChIKey=WCKNDRCJQZCZLO-LBJGKRIESA-N	31244
sesquithujene	CPD-13875	C15H24	InChIKey=UCQHFDKBUHCAFR-ILXRZTDVSA-N	63710
doxorubicin	CPD-13973	C27H30NO11	InChIKey=AOJJSUZBOXZQNB-TZSSRYMLSA-O	64816
[(4S)-4-(5,5-dimethylcyclohex-1-en-1-yl)-cyclohex-1-en-1-yl] methanol	CPD-13626	C15H24O	InChIKey=TWLSWZMXZCBDMX-CYBMUJFWSA-N	141850
12-deoxyaklanoate	CPD-15771	C21H17O7	InChIKey=GOOWFUBMXUJYPR-UHFFFAOYSA-M	31054
PR-toxin	CPD-13303	C17H20O6	InChIKey=GSPFUBNBRPVALJ-UAAVFWQKSA-N	7883
aklanonate	CPD-15738	C21H15O8	InChIKey=OSKHFTHBEFJNCM-UHFFFAOYSA-M	75309
&alpha;-patchoulene	CPD-11413	C15H24	InChIKey=KVQOADNSNSUAJT-UHFFFAOYSA-N	
carminomycin	CPD-15734	C26H28NO10	InChIKey=XREUEWVEMYWFFA-CSKJXFQVSA-O	75730
(+)-<i>epi</i>-&beta;-santalene	+-epi-beta-santalene	C15H24	InChIKey=PGBNIHXXFQBCPU-UHFFFAOYSA-N	
idarubicin	CPD-15814	C26H28NO9	InChIKey=XDXDZDZNSLXDNA-TZNDIEGXSA-O	
<i>cis</i>-abscisic alcohol	CPD4FS-7	C15H22O3	InChIKey=GRJFTUSJGMRSSJ-KICRZJJPSA-N	
methyl aklanonate	CPD-15729	C22H18O8	InChIKey=IDEZUESUWKFILV-UHFFFAOYSA-N	75311
nootkatene	CPD-8813	C15H22	InChIKey=RSKODCFDTXJUBN-NFAWXSAZSA-N	
methyl nogalonate	CPD-15806	C21H16O8	InChIKey=QBPKMZSXGLNWOB-UHFFFAOYSA-N	31916
(+)-&beta;-muurolene	CPD-8795	C15H24	InChIKey=USDOQCCMRDNVAH-ZNMIVQPWSA-N	
12-deoxydaunorubicin	CPD-15791	C27H30NO9	InChIKey=ZCLQMQOBRBUQOR-GRRPPOEGSA-O	
&beta;-longipinene	CPD-8752	C15H24	InChIKey=DQOVXHMHLOWECL-UHFFFAOYSA-N	192781
10-carboxy-3-deoxycarminomycin	CPD-15739	C27H29NO11	InChIKey=MMYTYGXIKKVLES-AGMCFEMXSA-N	77077
sibirene	CPD-8731	C15H24	InChIKey=ALUIZDJKPCNAGJ-UHFFFAOYSA-N	49231
13-dihydrodaunorubicin	CPD-15735	C27H32NO10	InChIKey=HJEZFVLKJYFNQW-FKKRWUELSA-O	75296
&alpha;-copaene	CPD-8234	C15H24	InChIKey=VLXDPFLIRFYIME-PLWLXLEKSA-N	10221
elloramycin	CPD-16637	C32H36O15	InChIKey=OYEXGNNKRQPUBW-FJYHMNRNSA-N	78288
lubimin	CPD-4743	C15H24O2	InChIKey=CEVNHRPKRNTGKO-ZSAUSMIDSA-N	27774
13-deoxycarminomycin	CPD-15732	C26H30NO9	InChIKey=UHYFCDBUKBJSFA-JYFLSIMMSA-O	140329
fumagillol	CPD-26043	C16H26O4	InChIKey=CEVCTNCUIVEQOY-JQOWZUPLSA-N	324935
auraviketone	CPD-15807	C21H16O8	InChIKey=NIJCZTKHKOATFT-HRAATJIYSA-N	31245
7-<i>epi</i>-<i>ent</i>-eudesmane-5,11-diol	CPD-21651	C15H28O2	InChIKey=DUMZYTYPNQNWMU-NEBZKDRISA-N	142536
aklavinone	CPD-15720	C22H20O8	InChIKey=RACGRCLGVYXIAO-YOKWENHESA-N	31181
selina-4(15),7(11)-diene	CPD-20249	C15H24	InChIKey=RMZHSBMIZBMVMN-LSDHHAIUSA-N	138051
12-deoxycarminomycin	CPD-15792	C26H28NO9	InChIKey=IVTIJSPMQMJSEQ-JJZGBLJQSA-O	
4&alpha;-hydroxydihydroilludin M	CPD-20152	C15H22O4	InChIKey=NMLDIEWGTYDDJB-XBFCOCLRSA-N	
daunorubicin	CPD-13962	C27H30NO10	InChIKey=STQGQHZAVUOBTE-VGBVRHCVSA-O	64677
2<i>Z</i>,4<i>E</i>,6<i>E</i>-allofarnesene	CPD-20098	C15H24	InChIKey=JEKGHHPMLRLCIW-PTXCUWFCSA-N	
10-carboxy-13-deoxydaunorubicin	CPD-15740	C28H31NO11	InChIKey=ROYGEIBVSIXOBH-WPHYHGIVSA-N	77195
(3S)-(+)-asterisca-2(9),6-diene	CPD-20081	C15H24	InChIKey=CXGSNSSJAGLQTG-DSDFTUOUSA-N	137531
8-hydroxycalonectrin	CPD-18502	C19H26O7	InChIKey=OMBCNOXJYCTBAT-ORLMPQSVSA-N	
kunzeaol	CPD-15241	C15H26O	InChIKey=PXMCURAOQSNMOZ-MDKMTUDGSA-N	72776
bicyclogermacrene	CPD-13870	C15H24	InChIKey=VPDZRSSKICPUEY-IBYSFASBSA-N	63709
4-<i>epi</i>-&alpha;-acoradiene	CPD-13269	C15H24	InChIKey=DVBSKQAFCDJNSL-RBSFLKMASA-N	
tirandamycin D	CPD-18218	C22H27NO6	InChIKey=WORJTWSOUPGODS-JFKYFUHISA-N	
(-)-&beta;-curcumene	CPD-11392	C15H24	InChIKey=JXZQZARENYGJMK-CQSZACIVSA-N	62760
tirandamycin E	CPD-18215	C22H29NO7	InChIKey=PPAGWZPNZAEPAJ-HUKGLPIOSA-N	
desoxyhemigossypol-6-methyl ether	CPD-9528	C16H18O3	InChIKey=ZMCDJIAUWJBTEN-UHFFFAOYSA-N	
tirandamycin F	CPD-18219	C22H29NO6	InChIKey=ADEAEUKXVJOXIM-FFIMWSCDSA-N	
7-<i>epi</i>-&alpha;-selinene	CPD-8809	C15H24	InChIKey=OZQAPQSEYFAMCY-SOUVJXGZSA-N	62224
tirandamycin B	CPD-18216	C22H27NO8	InChIKey=LYJKREGDQDJIDC-OLLBESOUSA-N	
(+)-&gamma;-bulgarene	CPD-8792	C15H24	InChIKey=WRHGORWNJGOVQY-RRFJBIMHSA-N	
tirandamycin C2	CPD-18220	C22H29NO6	InChIKey=ADEAEUKXVJOXIM-AOYOPVBSSA-N	
&alpha;-guaiene	CPD-8749	C15H24	InChIKey=ADIDQIZBYUABQK-RWMBFGLXSA-N	63443
tirandamycin C	CPD-18217	C22H29NO5	InChIKey=WWRZQUIPJGHZFD-YYYSPZRHSA-N	
&beta;-sesquiphellandrene	CPD-8247	C15H24	InChIKey=PHWISBHSBNDZDX-UHFFFAOYSA-N	64361
tirandamycin A	CPD-18214	C22H27NO7	InChIKey=URGUBECARCAPRI-MATNAQEJSA-N	
elemol	CPD-22155	C15H26O	InChIKey=GFJIQNADMLPFOW-VNHYZAJKSA-N	141221
3-demethylubiquinol-10	CPD-9873	C58H90O4	InChIKey=VLMQNHNMQVLPQI-AVRCVIBKSA-N	64182
dihydrobotrydial	CPD-20915	C17H28O5	InChIKey=QUGYVDURDBEQRB-CJNHKLDISA-N	
3-demethylubiquinol-<i>8</i>	OCTAPRENYL-METHYL-OH-METHOXY-BENZQ	C48H74O4	InChIKey=QURLIMHPCRKMJP-WDXILIIOSA-N	61705
1,4,5,10,13-pentahydroxy-&Delta;<sup>2,3</sup>-protoilludene	CPD-20190	C15H24O5	InChIKey=LQKHQNLULMMOOE-SCHIXGKNSA-N	
3-demethylubiquinol-9	CPD-7158	C53H82O4	InChIKey=ALAJATOGWWBPQT-NSCWJZNLSA-N	84423
illudin E	CPD-20149	C15H22O2	InChIKey=DNFFXGIQBVWGGT-XPTSAGLGSA-N	
3-demethylubiquinol-<i>7</i>	CPD-9861	C43H66O4	InChIKey=OHBHBMXNJCUMCR-DKCCAHEHSA-N	84431
1',4'-<i>trans</i>-diol abscisate	CPD-20095	C15H21O4	InChIKey=MWGXQVSTMXPXIW-FUZQYHGZSA-M	
CMP-<i>N</i>-acetyl-&beta;-neuraminate	CMP-N-ACETYL-NEURAMINATE	C20H29N4O16P	InChIKey=TXCIAUNLDRJGJZ-BILDWYJOSA-L	57812
(+)-isoafricanol	CPD-20075	C15H26O	InChIKey=KVFZUTBKAXAVDX-CYHVGBIXSA-N	137522
CMP-<i>N</i>-acetyl-7-<i>O</i>-acetyl-&beta;-neuraminate	CPD-16881	C22H31N4O17P	InChIKey=SXXZZRFINHAESH-BFFRMRRTSA-L	
trichotriol	CPD-18385	C15H26O5	InChIKey=RVVHFCQZGLCNHT-WPGIIJABSA-N	
polymyxin B6	CPD-20062	C56H103N16O14	InChIKey=VXKUKGSGMZZTDI-JHFUZREUSA-S	
valerena-4,7(11)-diene	CPD-14800	C15H24	InChIKey=MZZFDMZYIBWOOA-KWCYVHTRSA-N	68625
polymyxin B3	CPD-20059	C55H101N16O13	InChIKey=MUZYEKLWXWDOOD-RUDZPDEXSA-S	
&tau;-muurolene	CPD-13862	C15H24	InChIKey=WRHGORWNJGOVQY-UHFFFAOYSA-N	180496
polymyxin B2	CPD-16462	C55H101N16O13	InChIKey=SGPYLFWAQBAXCZ-RUDZPDEXSA-S	59063
1-deoxy-11&beta;-hydroxypentalenate	CPD-13620	C15H21O3	InChIKey=IZHNAGBQRXWHMT-QLLAZOAUSA-M	70779
